Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,,,,,,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: year=2011-2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022","TOTAL REPORTED EMISSIONS, 2023",CHANGE IN EMISSIONS (2022 TO 2023),CHANGE IN EMISSIONS (2011 TO 2023),SECTORS,
"Amplify Operating Oklahoma, LLC.",1010701,19051 Country Road 500,36.15307,-95.98943,Alva,,OK,73717,MIDSTATES PETROLEUM CO LLC (100%),,0,0,"27,228","179,108","238,365","353,532","326,662","57,929","14,525","9,198","7,762","7,992",0,0,0,Petroleum and Natural Gas Systems,
Amsted Graphite Materials LLC,1005068,2698 PHILIPPI PIKE,39.25496,-80.29091,ANMOORE,HARRISON COUNTY,WV,26323,AMSTED INDUSTRIES INC (100%),C,0,0,0,0,"23,567","18,551","17,953","3,252","26,846","28,015","24,741","28,670","32,682","4,012",0,Other,
"Amsted Rail Company, Inc.",1003757,1700 Walnut Street,38.70316,-90.158809,Granite City,MADISON COUNTY,IL,62040,AMSTED INDUSTRIES INC (100%),,"27,453","25,200","17,477","24,471","27,569","19,262","17,895","21,269","18,718","8,873",0,0,0,0,0,Metals,
Anadarko,1000865,701 B NE 7TH ST,35.0847,-98.23,ANADARKO,Caddo,OK,73005,WESTERN FARMERS ELECTRIC COOPERATIVE (100%),"C,D","430,386","513,143","401,496","406,139","460,345","711,073","564,019","763,013","446,955","292,144","256,525","311,506","527,567","216,060","97,181",Power Plants,
Anadarko Basin,1008200,5847 San Felipe Suite 3000,29.75476,-95.36985,Houston,HARRIS COUNTY,TX,77057,VANGUARD NATURAL RESOURCES INC (100%),,"34,119","29,725",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anadarko Basin,1009845,5221 N O'Connor Blvd. 11th Floor,29.73177,-95.43444,Irving,,TX,75039,SHERIDAN PRODUCTION CO LLC (100%),,0,0,0,"35,360","56,066","56,005","55,926","56,362","54,794","56,612","37,885",0,0,0,0,Petroleum and Natural Gas Systems,
Anadarko Basin - 360,1008952,PO Box 4358,29.77,-95.37,Houston,HARRIS COUNTY,TX,77210,EXXONMOBIL CORP (100%);,,"29,512","29,521",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anadarko Basin Gathering and Boosting,1012663,"811 Main St., Suite 3400",32.74631,-97.3416,Houston,,TX,77002,CRESTWOOD EQUITY PARTNERS LP (100%),,0,0,0,0,0,"26,431","19,979","13,706","2,898",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anadarko Facility,1008715,"840 Gessner Road, Suite 800",29.7726138,-95.514493,Houston,,TX,77024,Penn Virginia Corp (100%),,"2,167,290","56,764","23,091","18,509","15,517","15,548","15,551","8,836",0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anaheim Combustion Turbine,1001134,3071 E Miraloma Ave,33.8539,-117.8561,Anaheim,Orange,CA,92806,CITY OF ANAHEIM (100%),,"14,667","34,631","51,024","30,837","30,844","20,753","42,118","18,902","11,410",0,0,0,0,0,0,Power Plants,
Anaheim Electric Distribution System,1010076,"201 S. Anaheim Blvd., MS-1101",33.83458,-117.91401,Anaheim,ORANGE COUNTY,CA,92805,CITY OF ANAHEIM CALIFORNIA (100%),DD,"6,514","7,987","7,686","1,876","2,975","6,037","1,423","2,153","2,762","1,810","1,243","2,490","2,455",35,"4,059",Other,
Analog Devices Inc,1009982,One Analog Way,45.502117,-122.824922,Willmington,WASHINGTON COUNTY,MA,1887,ANALOG DEVICES INC (100%),"C,I",0,0,0,0,"34,896","36,477","43,648","69,285","55,792","74,297","72,837","75,511","60,623","14,888",0,Other,
Analog Devices Inc.,1010317,275 S. Hillview Drive,37.42778,-121.89263,Milpitas,SANTA CLARA COUNTY,CA,95035,Linear Technology Corporation (100%);,,"25,607","10,192","11,128","13,351",0,0,0,0,0,0,0,0,0,0,0,Other,
"Analog Devices, Inc./ Wilmington Manufacturing",1003759,"1 Analog Way, MS-424",42.5307,-71.14958,Wilmington,MIDDLESEX COUNTY,MA,1887,ANALOG DEVICES INC (100%),"C,I","41,129","38,264","33,849","37,426","32,999","31,656","34,325","35,453","36,526","32,090","37,745","42,979","38,727","4,252","2,402",Other,
Anchor Glass Container - Plant 41,1002181,151 E. MCCANN'S BLVD.,42.120763,-76.813168,ELMIRA HEIGHTS,CHEMUNG COUNTY,NY,14903,ANCHOR GLASS CONTAINER CORP (100%),"C,N","96,011","98,475","99,023","98,757","99,842","94,924","95,672","93,143","83,826","97,086","95,571","96,465","99,284","2,819","3,273",Minerals,
Anchor Glass Container Corporation - Plant 14,1004943,1044 BOOTH RD,32.586745,-83.591784,WARNER ROBINS,HOUSTON COUNTY,GA,31088,ANCHOR GLASS CONTAINER CORP (100%),"C,N","101,513","99,053","95,669","101,463","106,648","107,571","104,974","92,841","48,810","58,987","53,918","59,732","61,344","1,612","40,170",Minerals,
Anchor Glass Container Corporation - Plant 15,1005074,601 E BOLLINGER RD,35.447778,-95.962778,HENRYETTA,OKMULGEE COUNTY,OK,74437,ANCHOR GLASS CONTAINER CORP (100%),"C,N","97,969","98,002","81,988","81,976","93,429","97,007","96,091","78,771","88,789","93,326","96,363","102,174","95,412","6,762","2,557",Minerals,
Anchor Glass Container Corporation. - Plant 07,1004941,2121 HURON ST,30.349681,-81.712584,JACKSONVILLE,DUVAL COUNTY,FL,32254,ANCHOR GLASS CONTAINER CORP (100%),"C,N","71,682","68,944","66,323","60,975","66,001","66,221","64,343","65,696","66,927","60,430","65,763","64,130","34,644","29,486","37,038",Minerals,
Anchor Glass Container Corporation. - Plant 12,1004942,4108 VALLEY INDUSTRIAL BLVD N,44.79875,-93.46714,SHAKOPEE,SCOTT COUNTY,MN,55379,ANCHOR GLASS CONTAINER CORP (100%),"C,N","82,777","93,341","78,295","79,063","79,950","79,591","74,034","77,687","80,395","82,563","80,913","79,532","79,976",444,"2,801",Minerals,
Anchor Glass Container. - Plant 42,1002178,200 W BELLEVIEW,39.125,-84.85545,LAWRENCEBURG,DEARBORN COUNTY,IN,47025,ANCHOR GLASS CONTAINER CORP (100%),"C,N","43,209","43,161","42,965","39,551","40,479","41,971","42,120","43,575","46,210","37,942","40,847","51,312","48,752","2,560","5,543",Minerals,
Anclote Power Plant,1007246,1729 BAILLIES BLUFF ROAD,28.1844,-82.7887,HOLIDAY,Pasco,FL,34691,DUKE ENERGY CORP (100%),"C,D","1,177,231","1,138,693","999,602","1,450,071","1,729,670","1,990,107","1,666,233","1,575,665","1,363,641","1,388,459","1,263,783","1,357,055","1,149,387","207,668","27,844",Power Plants,
Andeavor EL PASO ALL SITES,1003564,212 North Clark Street,31.76945,-106.41426,EL PASO,EL PASO COUNTY,TX,79905,MARATHON PETROLEUM CORP (100%),"C,MM,P,Y","1,060,890","1,100,677",0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemicals, Refineries",
Anderson,1001116,6035 PARK ROAD,40.0529,-85.7389,ANDERSON,Madison,IN,46011,Indiana Municipal Power Agency (100%);,,"9,875","13,043","4,677","5,401",0,0,0,0,0,0,0,0,0,0,0,Power Plants,
"Anderson Energy, Inc. 360 - Anadarko Basin",1011070,"300 W. Douglas, Suite 410",37.68599,-97.34091,Wichita,SEDGWICK,KS,67202,ANDERSON ENERGY INC  (100%),,0,0,578,289,317,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
"Anderson Energy, Inc. 375 - Sedgwick Basin",1011289,"300 W. Douglas, Suite 410",37.68599,-97.34091,Wichita,SEDGWICK COUNTY,KS,67202,ANDERSON ENERGY INC  (100%),,0,0,"1,790","2,794","2,853",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
"Anderson Energy, Inc. 385 - Central Kansas Uplift",1011290,"300 W. Douglas, Suite 410",37.68599,-97.34091,Wichita,SEDGWICK COUNTY,KS,67202,ANDERSON ENERGY INC  (100%),,0,0,"3,469","7,515","8,241",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
"Anderson Energy, Inc. 450 - Las Animas Arch",1011291,"300 W. Douglas, Suite 410",37.68599,-97.34091,Wichita,SEDGWICK COUNTY,KS,67202,ANDERSON ENERGY INC  (100%),,0,0,"1,156","1,445","1,585",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anderson Regional Landfill,1002813,203 Landfill Road,34.57226,-82.4603,Belton,ANDERSON COUNTY,SC,29627,WASTE CONNECTIONS US INC (100%),HH,"107,827","115,869","124,525","118,272","125,253","135,162","143,371","175,472","43,209","188,285","229,978","246,753","243,430","3,323","135,603",Waste,
Angelina Gas Plant,1014725,"600 Travis, Suite 5500",29.76055919,-95.36423775,Houston,,TX,77002,M6 Midstream LLC (100%),"C,W",0,0,0,0,0,0,0,0,0,0,0,"103,717","142,319","38,602",0,Petroleum and Natural Gas Systems,
Angus Anson,1001097,7100 EAST RICE ST,43.6033,-96.6369,SIOUX FALLS,Minnehaha,SD,57101,XCEL ENERGY INC (100%),"C,D","38,270","77,727","29,684","20,677","72,991","45,876","48,025","80,260","74,498","89,985","110,558","79,667","161,253","81,585","122,982",Power Plants,
Anheuser-Busch LLC. - St. Louis Brewery,1002037,One Busch Place,38.5961,-90.2128,St. Louis,ST. LOUIS CITY,MO,63118,ANHEUSER-BUSCH COS LLC (100%),"C,PP","285,909","255,023","213,812","199,633","137,120","95,006","90,797","89,150","83,230","78,902","70,361","82,423","72,071","10,353","213,839",Other,
Anna Platform,1001756,,60.97640051,-151.3151067,Anchorage,KENAI PENINSULA,AK,99503,HILCORP ENERGY CO (100%),,0,0,"40,337","25,869","23,266","24,842","20,823","22,328","21,102",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anoka Municipal Regional Landfill,1011466,14730 NW Sunfish Blvd,45.23715,-93.42943,Ramsey,ANOKA COUNTY,MN,55303,STATE OF MINNESOTA (100%),HH,"36,217","35,736","29,671","35,096","35,980","34,330","33,349","32,995","32,475","32,051","31,173","30,024","29,257",767,"6,960",Waste,
Anschutz Exploration Corporation - Powder River Basin,1013264,555 17th Street Suite 2400,43.73495,-105.404,Denver,,CO,80202,THE ANSCHUTZ CORP (100%),W,0,0,0,0,0,0,0,"51,532","84,706","35,620","172,336","514,620","334,610","180,009",0,Petroleum and Natural Gas Systems,
Anson County Waste Management Facility,1002236,375 Dozer Drive,34.969177,-80.165185,Polkton,ANSON COUNTY,NC,28135,WASTE CONNECTIONS US INC (100%),HH,"99,266","127,926","134,669","151,934","172,306","189,163","211,575","267,748","274,451","70,917","51,909","80,464","63,836","16,628","35,429",Waste,
Antelope Compressor Station,1011435,,42.797116,-105.312477,Douglas,CONVERSE,WY,82633,"WILLIAMS PARTERNS, LP (100%)",,0,0,0,"31,487","24,395",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antelope Flat/ Sand Wash Compressor Station,1001896,,39.9951,-109.4712,Vernal,UINTAH,UT,84078,ANADARKO PETROLEUM CORP (100%),,"42,397","41,220","40,715","39,444","37,412",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antelope Hills Gas Plant,1008268,,35.996714,-100.12421,Glazier,HEMPHILL COUNTY,TX,79014,ENERGY TRANSFER LP (100%),,0,"20,706","38,369","32,844","64,695","49,918","41,664","29,699","16,249",10,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antelope Refining,1006508,2070 N Hwy 59,43.018663,-105.261432,Douglas,CONVERSE,WY,82633,"ALPINE ENERGY, LLC (9.09%);GENESIS ENERGY, LP (90.91%);",,"10,917","14,794","10,240","10,000",0,0,0,0,0,0,0,0,0,0,0,Refineries,
Antelope Station,1006652,1454 CR 315,33.866995,-101.866362,ABERNATHY,HALE COUNTY,TX,79311,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (100%),C,"68,048","51,650","31,025","96,765","76,325","35,149","48,030","127,172","168,237","119,339","103,904","122,802","125,720","2,918","57,672",Power Plants,
Antelope Valley,1001055,HWY 200,47.3714,-101.8344,BEULAH,Mercer,ND,58523,BASIN ELECTRIC POWER COOPERATIVE (100%),D,"5,993,367","7,073,379","6,939,208","6,705,591","7,631,204","6,624,697","6,753,322","6,952,694","6,725,541","6,285,220","5,904,569","6,570,325","5,389,116","1,181,209","604,251",Power Plants,
Antero Clearwater Facility,1013385,364 Gum Run Road,39.256088,-80.903362,Pennsboro,RITCHIE COUNTY,WV,26415,ANTERO RESOURCES CORP (100%),,0,0,0,0,0,0,0,"63,693","75,457",274,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antero Midstream LLC- 160 Basin,1012714,1615 Wynkoop Street,39.752016,-105.000734,Denver,DENVER COUNTY,CO,80202,ANTERO MIDSTREAM LLC (100%),W,0,0,0,0,0,"59,321","55,331","56,028","57,095","46,426","43,899","132,285","102,792","29,493",0,Petroleum and Natural Gas Systems,
Antero Midstream LLC- 160A Basin,1012652,1615 Wynkoop Street,39.752016,-105.000734,Denver,DENVER COUNTY,CO,80202,ANTERO MIDSTREAM LLC (100%),W,0,0,0,0,0,"369,514","711,420","911,389","1,330,408","1,507,875","1,595,572","1,828,887","1,894,508","65,622",0,Petroleum and Natural Gas Systems,
Antero Resources - 160 - Appalachian Basin (Utica),1010718,1615 Wynkoop Street,39.7541032,-105.0002242,Denver,,CO,80202,ANTERO RESOURCES CORP (100%),W,0,"11,880","110,668","102,341","111,913","90,234","129,564","108,107","98,675","44,156","17,003","32,879","20,739","12,140",0,Petroleum and Natural Gas Systems,
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,1615 Wynkoop Street,39.75231,-104.99906,Denver,,CO,80202,ANTERO RESOURCES CORP (100%),W,"105,917","516,702","415,414","424,088","309,155","329,643","540,115","412,479","445,345","433,892","253,085","211,106","200,323","10,783","94,406",Petroleum and Natural Gas Systems,
Antero Resources - Chautauqua Platform Basin,1010809,1625 17th Street,39.75231,-104.99906,Denver,Denver,CO,80202,Antero Resources Corporation  (100%),,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antero Resources - Ouachita Folded Belt Basin,1010807,1625 17th Street,39.75231,-104.99906,Denver,Denver,CO,80202,Antero Resources Corporation (100%),,0,"29,827",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antero Resources - South Oklahoma Folded Belt Basin,1010808,1625 17th Street,39.75256,-104.99887,Denver,DENVER COUNTY,CO,80202,Antero Resources Corporation  (100%);,,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Antero Resources- Arkoma Basin,1010182,1625 17th Street,39.75256,-104.99887,Denver,DENVER COUNTY,CO,80202,Antero Resources Corp (100%);,,"96,858","55,495",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Anton CO2 Re-Injection Facility,1014680,,33.838556,-102.049972,Anton,HALE COUNTY,TX,79313,OCCIDENTAL PETROLEUM CORP (100%),"C,W",0,0,0,0,0,0,0,0,0,0,0,"18,358","7,102","11,256",0,Petroleum and Natural Gas Systems,
Apache Corp. - Palo Duro,1010603,2000 Post Oak Blvd.,36.073218,-95.922258,Houston,TULSA COUNTY,TX,77056,APACHE CORP (100%),,0,0,"52,425","11,424","9,211","4,134",0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corp. Central - Anadarko Basin 360,1009335,500 West 7th Street,36.073218,-95.922258,Houston,TULSA COUNTY,TX,76102,PRESIDIO PETROLEUM LLC (100%),W,"690,843","574,652",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corp. Central - E. Texas Basin 260,1008221,6120 South Yale #1500,36.073218,-95.922258,Tulsa,TULSA COUNTY,OK,74136,APACHE CORP (100%);,,"78,682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corp. GC Onshore - Gulf Coast Basin 220,1008224,920 Memorial City Way,29.74592,-95.55962,Houston,,TX,77024,APA CORP (100%),W,"87,707","113,038","109,369",0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corp. Permian - Crane Gas Plant,1009986,303 Veterans Airpark Ln,32.03544,-102.08652,Midland,MIDLAND COUNTY,TX,79705,NAVITAS MIDSTREAM (100%),,"33,671","34,883","25,537","25,310","32,274","29,556","36,873","13,396",0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corp. Permian - Permian Basin 430,1009391,"2000 Post Oak Blvd, Suite 100",32.03544,-102.08652,Midland,,TX,77056,APA CORP (100%),W,"920,657","831,301","415,901",0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corporation + 430 + Permian Basin,1011803,"2000 Post Oak Blvd, Suite 100",29.610018,-98.604853,Houston,,TX,77056,APACHE CORP (100%),,0,0,0,0,"52,894","525,661","553,926","521,014","290,066",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corporation - Gathering and Boosting Permian 430,1013392,"2000 Post Oak Blvd, Suite 100",29.7446,-95.4612,Houston,,TX,77056,APA CORP (100%),W,0,0,0,0,0,0,"26,552","99,289","669,989","596,034","678,144","755,540","756,504",964,0,Petroleum and Natural Gas Systems,
Apache Corporation - Gulf Coast Basin 220,1008224,920 Memorial City Way,29.74592,-95.55962,Houston,,TX,77024,APA CORP (100%),W,0,0,0,"148,819","87,194","48,272","26,892",0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Apache Corporation - Permian Basin 430,1009391,"2000 Post Oak Blvd, Suite 100",32.03544,-102.08652,Houston,,TX,77056,APA CORP (100%),W,0,0,0,"357,543","233,428","161,394","224,094","237,425","660,681","394,084","158,445","130,772","222,479","91,707",0,Petroleum and Natural Gas Systems,
Apache Station,1005949,3525 N US HWY 191,32.0619,-109.8931,COCHISE,Cochise,AZ,85606,ARIZONA ELECTRIC POWER COOPERATIVE INC (100%),"C,D","2,113,349","1,686,091","2,621,697","2,928,913","2,143,683","2,205,075","1,805,830","1,441,197","1,461,879","1,593,217","1,692,044","1,728,325","1,458,091","270,234","655,258",Power Plants,
"Apex Energy (PA), LLC",1014618,6041 Wallace Rd Extension STE 100,40.63491686,-80.06557715,Wexford,,PA,15090,Apex Energy LLC (100%),W,0,0,0,0,0,0,0,0,0,0,0,"27,358","32,276","4,918",0,Petroleum and Natural Gas Systems,
Apex Generating Station,1000068,15555 APEX POWER PARKWAY,36.4178,-114.9622,LAS VEGAS,Clark,NV,89165,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY (100%),"C,D","397,568","522,368","175,676","631,128","989,684","1,297,860","1,188,719","858,789","800,992","1,039,899","1,022,419","999,140","865,094","134,047","467,525","Other, Power Plants",
Appalachian Basin (Eastern Overthrust Area),1010721,10000 Energy Dr,29.93876,-95.3509,Spring,,TX,77389,SOUTHWESTERN ENERGY CO INC (100%),W,0,"43,532","93,421","264,272","213,208","101,607","259,538","413,851","497,780","1,005,179","1,069,523","954,641","1,087,263","132,622",0,Petroleum and Natural Gas Systems,
Appalachian Basin (Eastern Overthrust Area) Gathering and Boosting,1012584,"1200 Summit Ave, Suite 320",32.74631,-97.3416,Fort Worth,TARRANT COUNTY,TX,76102,CRESTWOOD EQUITY PARTNERS LP (100%),,0,0,0,0,0,"386,766","388,379","370,877","291,362","259,819","201,901",0,0,0,0,Petroleum and Natural Gas Systems,
Appalachian Basin - AAPG Province 160A,1008937,"33 West Third Street, Suite 300",41.241182,-77.0010648,Williamsport,,PA,17701,ARD OPERATING LLC (100%),W,"704,801","183,181","175,063","115,600","97,518","103,111","64,891","82,244","122,765","130,253","109,215","106,939","37,743","69,196","667,058",Petroleum and Natural Gas Systems,
Appalachian Basin Gathering & Boosting - AAPG Province 160A,1012241,"33 West Third Street, Suite 300",30.16115,-95.45389,Williamsport,,PA,17701,ARD OPERATING LLC (100%),W,0,0,0,0,0,"91,414","110,826","112,083","116,283","134,660","136,670","98,346","92,545","5,801",0,Petroleum and Natural Gas Systems,
Appalachian Facility,1008440,"300 Capitol Street, Suite 200",38.35082,-81.63328,Charleston,KANAWHA,WV,25301,Penn Virginia Corporation (100%);,,"104,350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Applied Energy LLC Naval Station,1005566,"3970 Surface Navy Blvd, Bldg 3427",32.684066,-117.125996,San Diego,SAN DIEGO COUNTY,CA,92136,ATLANTIC POWER CORP (100%),,"179,743","170,806","195,465","185,059","194,409","199,353","199,054","23,355",0,0,0,0,0,0,0,"Other, Power Plants",
"Approach Operating, LLC 430 Permian Basin",1008456,6500 W Freeway Suite 800,32.717251,-97.443544,Fort Worth,TARRANT COUNTY,TX,76116,APPROACH RESOURCES INC (100%),,"120,972","152,706","159,050","173,217","143,509","122,041","139,462","138,463","137,136",0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Aptina LLC,1012992,1401 North Kings Road,43.596395,-116.534622,Nampa,CANYON COUNTY,ID,83687,SCI LLC (100%),,0,0,0,0,0,0,"1,923","2,765","1,656","2,545",0,0,0,0,0,Other,
Arapaho,1004686,,35.7481,-99.202,BUTLER,CUSTER COUNTY,OK,73625,MPLX LP (100%),"C,W","53,009","47,872","42,272","39,569","31,623","31,801","27,456","41,575","23,278","23,033","25,606","24,981","12,704","12,277","40,305",Petroleum and Natural Gas Systems,
Arapahoe,1001460,2601 S PLATTE RIVER DR,39.67,-105.0028,DENVER,Denver,CO,80223,XCEL ENERGY INC (100%);,,"809,875","1,032,548","950,273",0,0,0,0,0,0,0,0,0,0,0,0,Power Plants,
Arapahoe Combustion Turbine Facility,1001360,2601 SOUTH PLATTE RIVER ROAD,39.6692,-105.0018,DENVER,Denver,CO,80223,SOUTHWEST GENERATION OPERATING CO LLC (100%),"C,D","86,869","43,793","10,408","93,919","58,691","29,811","93,274","122,533","102,543","103,973","99,498","112,777","107,556","5,221","20,687",Power Plants,
Arauco North America,1013151,5851 Arauco Rd,44.5985,-84.6865,Grayling,CRAWFORD COUNTY,MI,49738,ARAUCO NORTH AMERICA INC (100%),C,0,0,0,0,0,0,0,0,"27,562","59,068","72,658","61,824","53,907","7,916",0,Other,
"Arauco North America, Inc.",1003156,1275 WILLAMETTE ROAD,34.383511,-92.725445,MALVERN,HOT SPRING COUNTY,AR,72104,ARAUCO NORTH AMERICA INC (100%),C,0,0,0,0,"54,295","54,460","60,545","60,356","60,131","58,693","65,509","52,357","37,292","15,066",0,Other,
Arc Park Compressor Station,1011268,,32.769706,-97.262894,Fort Worth,TARRANT,TX,76103,"WILLIAMS PARTNERS, LP (100%)",,0,0,"20,302","10,551","16,328",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
ArcelorMittal Cleveland LLC,1007177,3060 EGGERS AVENUE,41.4739,-81.6728,CLEVELAND,Cuyahoga,OH,44105,CLEVELAND-CLIFFS INC (100%),"C,Q","3,733,194","4,121,428","4,141,485",0,0,0,0,0,0,0,0,0,0,0,0,Metals,
ArcelorMittal Columbus LLC,1006951,1800 Watkins Road,39.90428,-82.94609,Columbus,FRANKLIN COUNTY,OH,43207,CLEVELAND-CLIFFS INC (100%),C,"28,797","31,392","28,334",0,0,0,0,0,0,0,0,0,0,0,0,Other,
ArcelorMittal Georgetown,1001699,420 South Hazard Street,33.36792,-79.29486,Georgetown,GEORGETOWN COUNTY,SC,29440,LIBERTY STEEL GEORGETOWN INC (100%),"C,Q","62,561","62,618","58,304",0,0,0,0,0,0,0,0,0,0,0,0,Metals,
ArcelorMittal Indiana Harbor LLC,1000588,3001 Dickey Road,41.651165,-87.459167,East Chicago,LAKE COUNTY,IN,46312,CLEVELAND-CLIFFS INC (100%),"C,Q","3,935,789","4,622,649","4,841,362",0,0,0,0,0,0,0,0,0,0,0,0,Metals,
ArcelorMittal Indiana Harbor Long Carbon,1005021,3300 Dickey Road,41.6515,-87.458694,East Chicago,LAKE COUNTY,IN,46312,ARCELORMITTAL USA (100%),,"69,939","60,165","76,012","73,540","14,927",0,0,0,0,0,0,0,0,0,0,Metals,
ArcelorMittal Minorca Mine,1003669,5950 Old Highway 53,47.5607,-92.520349,Virginia,ST. LOUIS COUNTY,MN,55792,CLEVELAND-CLIFFS INC (100%),"C,Q","332,779","238,378","239,085",0,0,0,0,0,0,0,0,0,0,0,0,Metals,
ArcelorMittal Plate LLC - Gary Plate,1000895,1 North Broadway,41.608722,-87.337224,Gary,LAKE COUNTY,IN,46402,ARCELORMITTAL USA (100%),,"29,960","31,361","25,884",0,0,0,0,0,0,0,0,0,0,0,0,Metals,
ArcelorMittal Princeton,1010125,640 Cloverdew Dairy Road,37.338238,-81.08738,Princeton,MERCER COUNTY,WV,24740,CLEVELAND-CLIFFS INC (100%),FF,"63,555","30,287","24,745",0,0,0,0,0,0,0,0,0,0,0,0,Other,
ArcelorMittal Texas HBI,1012625,2800 Kay Bailey Hutchison Road,27.888611,-97.277778,Portland,SAN PATRICIO COUNTY,TX,78374,ARCELORMITTAL HOLDINGS LLC (100%),"C,Q",0,0,0,0,0,0,0,"783,386","857,710","650,907","738,882","788,416","556,933","231,483",0,Metals,
ArcelorMittal Weirton LLC,1000260,100 Pennsylvania Avenue,40.422,-80.5955,WEIRTON,Hancock,WV,26062,CLEVELAND-CLIFFS INC (100%),C,"193,971","201,448","209,586",0,0,0,0,0,0,0,0,0,0,0,0,Other,
Archer Compressor Station,1011436,,40.32388,-81.07751,Cadiz,HARRISON,OH,43907,"WILLIAMS PARTNERS, LP (100%)",,0,0,0,"32,498","32,960",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
Archer Daniels Midland,1003476,400 E. Holt St.,39.169552,-91.879288,Mexico,AUDRAIN COUNTY,MO,65265,ARCHER DANIELS MIDLAND CO (100%),C,0,"25,483","26,426","27,662","28,521","28,291","29,613","31,310","32,769","32,419","29,762","30,509","28,540","1,969",0,Other,
Archer Daniels Midland Co.,1005661,4666 FARIES PARKWAY,39.8675,-88.885,DECATUR,Macon,IL,62521,ARCHER DANIELS MIDLAND CO (100%),"C,II,PP,RR (RPT)","4,710,939","4,714,596","4,720,599","4,741,830","4,507,308","4,206,309","4,490,464","4,368,467","4,402,190","4,465,259","4,207,231","4,135,003","3,819,217","315,786","891,722","Other, Waste",
"Archer Daniels Midland Co. - Enderlin, ND",1013749,5525 136th Avenue SE,46.6137,-97.5769,Enderlin,RANSOM COUNTY,ND,58027,ARCHER DANIELS MIDLAND CO (100%),"C,II",0,0,0,0,0,0,0,0,"29,952","37,140","28,257","28,925","33,129","4,204",0,"Other, Waste",
